NOM_SCIENTIFIQUE;NOM_LATIN
Codium tomentosum Stackh., 1797;Codium tomentosum
Codium vermilara (Olivi) Delle Chiaje, 1829;Codium vermilara
Codonanthopsis calcarata (Miq.) Chautems & Mat.Perret, 2013;Codonanthopsis calcarata
Codonanthopsis caribaea (Urb.) Chautems. & Mat.Perret, 2013;Codonanthopsis caribaea
Codonanthopsis crassifolia (H.Focke) Chautems & Mat.Perret, 2013;Codonanthopsis crassifolia
Codonanthopsis dissimulata (H.E.Moore) Wiehler, 1978;Codonanthopsis dissimulata
Codonanthopsis Mansf., 1934;Codonanthopsis Mansf
Codonoblepharon forsteri (Dicks.) Goffinet, 2004;Codonoblepharon forsteri
Codonoblepharon Schwägr., 1824;Codonoblepharon Schwägr
Coelarthrum Børgesen, 1910;Coelarthrum Børgesen
Coelarthrum cliftonii (Harv.) Kylin, 1931;Coelarthrum cliftonii
Coelastroideae ;Coelastroideae
Coelastrum astroideum De Not., 1867;Coelastrum astroideum
Coelastrum cambricum W.Archer, 1868;Coelastrum cambricum
Coelastrum indicum W.B.Turner, 1892;Coelastrum indicum
Coelastrum microporum Nageli, 1849;Coelastrum microporum
Coelastrum Nägeli, 1849;Coelastrum Nägeli
Coelastrum proboscideum Bohlin, 1896;Coelastrum proboscideum
Coelastrum pseudomicroporum Korshikov, 1953;Coelastrum pseudomicroporum
Coelastrum pulchrum Schmidle, 1892;Coelastrum pulchrum
Coelastrum sphaericum Nägeli, 1849;Coelastrum sphaericum
Coeliopsidinae Szlach., 1995;Coeliopsidinae Szlach
Coeloglossum ;Coeloglossum
Coeloglossum viride (L.) Hartm., 1820;Coeloglossum viride
Coelogyne Lindl., 1821;Coelogyne Lindl
Coelogyne lycastoides F.Muell.;Coelogyne lycastoides
Coelogyne mayeriana Rchb.f., 1877;Coelogyne mayeriana
Coelogyne pandurata Lindl., 1853;Coelogyne pandurata
Coelogyne pulverula Teijsm. & Binn., 1862;Coelogyne pulverula
Coelogyne x burfordiense T.Lawr., 1912;Coelogyne x
Coelogyninae Benth., 1881;Coelogyninae Benth
Coelorachis aurita (Steud.) A.Camus, 1922;Coelorachis aurita
Coelospermum balansanum Baill.;Coelospermum balansanum
Coelospermum Blume, 1826;Coelospermum Blume
Coelospermum crassifolium J.T.Johanss.;Coelospermum crassifolium
Coelospermum fragrans (Montrouz.) Baill. ex Guillaumin, 1930;Coelospermum fragrans
Coelospermum nomac Mouly & Fleurot, 2021;Coelospermum nomac
Coelothrix Børgesen, 1920;Coelothrix Børgesen
Coelothrix irregularis (Harv.) Børgesen, 1920;Coelothrix irregularis
Coenochloris fottii (Hindák) Tsarenko, 1990;Coenochloris fottii
Coenochloris Korshikov, 1953;Coenochloris Korshikov
Coenochloris pyrenoidosa Korshikov, 1953;Coenochloris pyrenoidosa
Coenococcus Korshikov, 1953;Coenococcus Korshikov
Coenococcus nygaardii (Komárek) Hindák, 1984;Coenococcus nygaardii
Coenococcus planctonicus Korshikov, 1953;Coenococcus planctonicus
Coenocystis helvetica (Hindák) Hindák, 1988;Coenocystis helvetica
Coenocystis Korshikov, 1953;Coenocystis Korshikov
Coenocystis planctonica Korshikov, 1953;Coenocystis planctonica
Coffea arabica L., 1753;Coffea arabica
Coffea canephora Pierre ex A.Froehner, 1897;Coffea canephora
Coffea humblotiana Baill., 1885;Coffea humblotiana
Coffea L., 1753;Coffea L
Coffea liberica W.Bull ex Hiern, 1876;Coffea liberica
Coffea mauritiana Lam., 1783;Coffea mauritiana
Coffeeae DC., 1807;Coffeeae DC
Cohniella cebolleta (Jacq.) Christenson, 1999;Cohniella cebolleta
Cohniella juncifolia (L.) Cetzal & Carnevali, 2013;Cohniella juncifolia
Cohniella Pfitzer, 1889;Cohniella Pfitzer
Cohniella ultrajectina (Pulle) Cetzal & Carnevali, 2013;Cohniella ultrajectina
Coicinae Rchb. ex Clayton & Renvoize, 1986;Coicinae Rchb
Coilochilus neocaledonicus Schltr.;Coilochilus neocaledonicus
Coilochilus Schltr., 1906;Coilochilus Schltr
Coincya monensis (L.) Greuter & Burdet, 1983;Coincya monensis
Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm., 1993;Coincya monensis
Coincya richeri (Vill.) Greuter & Burdet, 1983;Coincya richeri
Coincya Rouy, 1891;Coincya Rouy
Coix L., 1753;Coix L
Coix lacryma-jobi L., 1753;Coix lacryma-jobi
Cola acuminata (P.Beauv.) Schott & Endl., 1832;Cola acuminata
Cola cordifolia (Cav.) R.Br., 1844;Cola cordifolia
Cola nitida (Vent.) Schott & Endl., 1832;Cola nitida
Cola Schott & Endl., 1832;Cola Schott
Colacodasya F.Schmitz, 1897;Colacodasya F
Colacodasya inconspicua (Reinsch) F.Schmitz, 1897;Colacodasya inconspicua
Colacodictyon Feldmann, 1955;Colacodictyon Feldmann
Colacodictyon reticulatum (Batters) Feldmann, 1955;Colacodictyon reticulatum
Colaconema asparagopsis Chemin, 1926;Colaconema asparagopsis
Colaconema Batters, 1896;Colaconema Batters
Colaconema bonnemaisoniae Batters, 1896;Colaconema bonnemaisoniae
Colaconema caespitosum (J.Agardh) Jackelman, Stegenga & J.J.Bolton, 1991;Colaconema caespitosum
Colaconema chylocladiae Batters, 1896;Colaconema chylocladiae
Colaconema chylocladiae f. hypoglossi (Miranda) Valenzuela Miranda, 2005;Colaconema chylocladiae
Colaconema codicola (Børgesen) H.Stegenga, J.J.Bolton & R.J.Anderson, 1997;Colaconema codicola
Colaconema codii (G.Hamel) I.-K.Hwang & H.-S.Kim, 2011;Colaconema codii
Colaconema conchicola Lami, 1939;Colaconema conchicola
Colaconema corymbiferum (Thur.) Alongi, Cormaci & G.Furnari, 2017;Colaconema corymbiferum
Colaconema daviesii (Dillwyn) Stegenga, 1985;Colaconema daviesii
Colaconema emergens (Rosenv.) R.Nielsen, 1994;Colaconema emergens
Colaconema gracile (Børgesen) Ateweberhan & Prud'homme van Reine, 2005;Colaconema gracile
Colaconema gynandrum (Rosenv.) R.Nielsen, 1994;Colaconema gynandrum
Colaconema hallandicum (Kylin) Afonso-Carillo, Sanson, Sangil & Diaz-Villa, 2007;Colaconema hallandicum
Colaconema hypneae (Børgesen) A.A.Santos & C.W.N.Moura, 2010;Colaconema hypneae
Colaconema infestans (M.A.Howe & Hoyt) Woelk., 1973;Colaconema infestans
Colaconema leptonema (Rosenv.) Alongi, Cormaci & G.Furnari, 2017;Colaconema leptonema
Colaconema minimum (Collins) Woelk., 1973;Colaconema minimum
Colaconema nemalii (De Not. ex L.Dufour) Stegenga, 1985;Colaconema nemalii
Colaconema robustum (Børgesen) Huisman & Woelkerling, 2018;Colaconema robustum
Colaconema savianum (Menegh.) R.Nielsen, 1994;Colaconema savianum
Colaconema subtilissimum (Kütz.) Alongi, Cormaci & G.Furnari, 2017;Colaconema subtilissimum
Colaconema thuretii (Bornet) P.W.Gabrielson, 2000;Colaconema thuretii
Colaconemataceae J.T. Harper & G.W. Saunders, 2002;Colaconemataceae J
Colaconematales J.T. Harper & G.W. Saunders, 2002;Colaconematales J
Colacopsis De Toni, 1903;Colacopsis De
Colacopsis velutina (M.T.Martin & M.A.Pocock) R.E.Norris, 1988;Colacopsis velutina
Colchicaceae DC., 1804 [nom. cons.];Colchicaceae DC
Colchicum alpinum DC., 1805;Colchicum alpinum
Colchicum alpinum x Colchicum autumnale ;Colchicum alpinum
Colchicum arenasii Fridl., 1999;Colchicum arenasii
Colchicum autumnale L., 1753;Colchicum autumnale
Colchicum bulbocodium Ker Gawl., 1807;Colchicum bulbocodium
Colchicum corsicum Baker, 1879;Colchicum corsicum
Colchicum cupanii Guss., 1827;Colchicum cupanii
Colchicum filifolium (Cambess.) Stef., 1926;Colchicum filifolium
Colchicum haynaldii Heuff., 1858;Colchicum haynaldii
Colchicum L., 1753;Colchicum L
Colchicum longifolium Castagne, 1845;Colchicum longifolium
Colchicum montanum L., 1753;Colchicum montanum
Colchicum multiflorum Brot., 1804;Colchicum multiflorum
Colchicum nanum K.Perss., 2007;Colchicum nanum
Colchicum paranquei (Fridl. & M.Pignal) Fridl. & J.-M.Tison, 2021;Colchicum paranquei
Colchicum variegatum L., 1753;Colchicum variegatum
Colchicum x agrippinum Baker, 1879;Colchicum x
Colchicum x byzantinum Ker Gawl., 1807;Colchicum x
Colea Bojer ex Meisn., 1840;Colea Bojer
Colea comorensis (H.Perrier) Callm., Phillipson & Buerki, 2015;Colea comorensis
Coleanthinae Rouy, 1913;Coleanthinae Rouy
Coleanthus Seidl, 1817 [nom. cons.];Coleanthus Seidl
Coleanthus subtilis (Tratt.) Seidl ex Roem. & Schult., 1817;Coleanthus subtilis
Coleataenia caricoides (Nees ex Trin.) Soreng, 2010;Coleataenia caricoides
Coleataenia Griseb., 1879;Coleataenia Griseb
Coleataenia scabrida (Döll) Zuloaga, 2014;Coleataenia scabrida
Coleataenia stenodes (Griseb.) Soreng, 2010;Coleataenia stenodes
Coleeae Bojer, 1837;Coleeae Bojer
Coleochaetaceae ;Coleochaetaceae
Coleochaetales ;Coleochaetales
Coleochaete Bréb., 1844;Coleochaete Bréb
Coleochaete leve (Bailey) Sarma & Chapman, 1975;Coleochaete leve
Coleochaete orbicularis Pringsh., 1860;Coleochaete orbicularis
Coleochaete pulvinata A.Braun, 1849;Coleochaete pulvinata
Coleochaete scutata Bréb., 1844;Coleochaete scutata
Coleochaete soluta (Bréb.) Pringsh., 1860;Coleochaete soluta
Coleochaetophyceae ;Coleochaetophyceae
Coleostachys A.Juss., 1840;Coleostachys A
Coleostachys genipifolia A.Juss., 1840;Coleostachys genipifolia
Coleostephus Cass., 1826;Coleostephus Cass
Coleostephus myconis (L.) Cass. ex Rchb.f., 1854;Coleostephus myconis
Coleostephus paludosus (Durieu) Alavi, 1976;Coleostephus paludosus
Coleus amboinicus Lour., 1790;Coleus amboinicus
Coleus australis (R.Br.) A.J.Paton, 2019;Coleus australis
Coleus barbatus (Andrews) Benth., 1830;Coleus barbatus
Coleus forsteri (Benth.) A.J.Paton, 2019;Coleus forsteri
Coleus hadiensis (Forssk.) A.J.Paton, 2019;Coleus hadiensis
Coleus Lour., 1790;Coleus Lour
Coleus madagascariensis (Pers.) A.Chev., 1953;Coleus madagascariensis
Coleus monostachyus (P.Beauv.) A.J.Paton, 2019;Coleus monostachyus
Coleus monostachyus subsp. monostachyus (P.Beauv.) A.J.Paton, 2019;Coleus monostachyus
Coleus neochilus (Schltr.) Codd, 1961;Coleus neochilus
Coleus scutellarioides (L.) Benth., 1830;Coleus scutellarioides
Colicodendron Mart., 1839;Colicodendron Mart
Colicodendron yco (Mart.) Mart., 1839;Colicodendron yco
Collabieae Pfitzer, 1887;Collabieae Pfitzer
Colletia Comm. ex Juss., 1789;Colletia Comm
Colletia cruciata Gillies & Hook., 1830;Colletia cruciata
Colletieae Reissek ex Endl., 1840;Colletieae Reissek
Collomia grandiflora Douglas ex Lindl., 1828;Collomia grandiflora
Collomia Nutt., 1818;Collomia Nutt
Colobanthus Bartl., 1830;Colobanthus Bartl
Colobanthus kerguelensis Hook.f., 1845;Colobanthus kerguelensis
Colocasia esculenta (L.) Schott, 1832;Colocasia esculenta
Colocasia Schott, 1832;Colocasia Schott
Colocasieae Brongn., 1843;Colocasieae Brongn
Cololejeunea (Spruce) Steph., 1891;Cololejeunea (Spruce)
Cololejeunea amieuensis Tixier, 1979;Cololejeunea amieuensis
Cololejeunea angustiflora (Steph.) Mizut., 1965;Cololejeunea angustiflora
Cololejeunea antillana Pócs, 2009;Cololejeunea antillana
Cololejeunea appressa (A.Evans) Benedix;Cololejeunea appressa
Cololejeunea arrectifolia (Mitt.) H.A.Mill., Bonner & Bischl.;Cololejeunea arrectifolia
Cololejeunea aurantia (Tixier) Thouvenot, 2011;Cololejeunea aurantia
Cololejeunea australis Tixier, 1979;Cololejeunea australis
Cololejeunea bebourensis Tixier, 1977;Cololejeunea bebourensis
Cololejeunea bekkerii Tixier;Cololejeunea bekkerii
Cololejeunea bidentula (Steph.) E.W.Jones, 1954;Cololejeunea bidentula
Cololejeunea borbonica Tixier, 1977;Cololejeunea borbonica
Cololejeunea bosseriana Tixier, 1979;Cololejeunea bosseriana
Cololejeunea calcarea (Lib.) Schiffn.;Cololejeunea calcarea
Cololejeunea caledonica Gottsche ex Steph., 1895;Cololejeunea caledonica
Cololejeunea camillii (Lehm.) A.Evans;Cololejeunea camillii
Cololejeunea cardiocarpa (Mont.) A.Evans, 1902;Cololejeunea cardiocarpa
Cololejeunea ceatocarpa (Ångstr.) Steph.;Cololejeunea ceatocarpa
Cololejeunea cingens (Herzog) Bernecker & Pócs;Cololejeunea cingens
Cololejeunea comptonii (Pearson) H.A.Mill., 1981;Cololejeunea comptonii
Cololejeunea contractiloba A.Evans;Cololejeunea contractiloba
Cololejeunea cordiflora Steph., 1895;Cololejeunea cordiflora
Cololejeunea costaricensis (Bernecker) Bernecker & Pócs, 2009;Cololejeunea costaricensis
Cololejeunea cremersii Tixier, 1995;Cololejeunea cremersii
Cololejeunea crenata (A.Evans) Pócs, 2009;Cololejeunea crenata
Cololejeunea crenulata (Pearson) H.A.Mill., 1981;Cololejeunea crenulata
Cololejeunea cuneata (Lehm. & Lindenb.) Herzog;Cololejeunea cuneata
Cololejeunea decemplicata (Steph.) Tixier, 1979;Cololejeunea decemplicata
Cololejeunea decliviloba Steph., 1895;Cololejeunea decliviloba
Cololejeunea dentilobula (Steph.) R.M.Schust., 1963;Cololejeunea dentilobula
Cololejeunea diaphana A.Evans;Cololejeunea diaphana
Cololejeunea dozyana (Sande Lac.) Schiffn., 1900;Cololejeunea dozyana
Cololejeunea dzumacensis Tixier, 1979;Cololejeunea dzumacensis
Cololejeunea ensifolia (Spruce) Steph., 1916;Cololejeunea ensifolia
Cololejeunea falcata (Horik.) Benedix, 1953;Cololejeunea falcata
Cololejeunea floccosa (Lehm. & Lindenb.) Schiffn., 1898;Cololejeunea floccosa
Cololejeunea florencei Tixier, 1993;Cololejeunea florencei
Cololejeunea gracilis (Ast) Pócs, 2008;Cololejeunea gracilis
Cololejeunea guadelupensis Tixier, 1995;Cololejeunea guadelupensis
Cololejeunea gynophthalma Benedix, 1953;Cololejeunea gynophthalma
Cololejeunea haskarliana (Lehm.) Schiffn., 1898;Cololejeunea haskarliana
Cololejeunea hildebrandii (Austin) Steph., 1897;Cololejeunea hildebrandii
Cololejeunea huerlimannii Tixier, 1979;Cololejeunea huerlimannii
Cololejeunea inflata Steph., 1895;Cololejeunea inflata
Cololejeunea inflectens (Mitt.) Benedix, 1953;Cololejeunea inflectens
Cololejeunea jamesii (Austin) M.E.Reiner & Pócs, 2015;Cololejeunea jamesii
Cololejeunea lanciloba Steph., 1895;Cololejeunea lanciloba
Cololejeunea latilobula (Herzog) Tixier, 1985;Cololejeunea latilobula
Cololejeunea leloutrei (E.W.Jones) R.M.Schust., 1963;Cololejeunea leloutrei
Cololejeunea linopteroides H.Rob.;Cololejeunea linopteroides
Cololejeunea longifolia (Mitt.) Benedix ex Mizut.;Cololejeunea longifolia
Cololejeunea magillii Pócs, 1993;Cololejeunea magillii
Cololejeunea marginata (Lehm. & Lindenb.) Schiffn., 1890;Cololejeunea marginata
Cololejeunea maritima Tixier, 1979;Cololejeunea maritima
Cololejeunea metzgeriopsis (K.I.Goebel) Gradst., R.Wilson, Ilk.-Borg. & Heinrichs, 2006;Cololejeunea metzgeriopsis
Cololejeunea microscopica (Taylor) Schiffn., 1895;Cololejeunea microscopica
Cololejeunea mooreaensis Tixier, 1987;Cololejeunea mooreaensis
Cololejeunea morobensis (Pócs) Pócs, 2009;Cololejeunea morobensis
Cololejeunea mouensis (Tixier) H.A.Mill., 1981;Cololejeunea mouensis
Cololejeunea mutabilis Benedix, 1953;Cololejeunea mutabilis
Cololejeunea ninguana Tixier, 1979;Cololejeunea ninguana
Cololejeunea obliqua (Nees & Mont.) Schiffn.;Cololejeunea obliqua
Cololejeunea pacifica Pócs, 2012;Cololejeunea pacifica
Cololejeunea paniensis (Tixier) Grolle, 1975;Cololejeunea paniensis
Cololejeunea papillosa (K.I.Goebel) Mizut.;Cololejeunea papillosa
Cololejeunea peponiformis Mizut., 1970;Cololejeunea peponiformis
Cololejeunea peraffinis (Schiffn.) Schiffn., 1898;Cololejeunea peraffinis
Cololejeunea platyneura (Spruce) A.Evans;Cololejeunea platyneura
Cololejeunea pseudocuspidata Tixier, 1987;Cololejeunea pseudocuspidata
Cololejeunea pseudoserrata Tixier, 1979;Cololejeunea pseudoserrata
Cololejeunea pterocolea Herzog, 1952;Cololejeunea pterocolea
Cololejeunea raduliloba Steph., 1895;Cololejeunea raduliloba
Cololejeunea rossettiana (C.Massal.) Schiffn., 1893;Cololejeunea rossettiana
Cololejeunea serrata (Steph.) Benedix, 1953;Cololejeunea serrata
Cololejeunea sicaefolia (Gottsche) Pócs & Bernecker;Cololejeunea sicaefolia
Cololejeunea sigmoidea Jovet-Ast & Tixier, 1962;Cololejeunea sigmoidea
Cololejeunea sintenisii (Steph.) Pócs, 2008;Cololejeunea sintenisii
Cololejeunea societatis Tixier, 1987;Cololejeunea societatis
Cololejeunea sophiana Tixier, 1975;Cololejeunea sophiana
Cololejeunea subcardiocarpa Tixier, 1980;Cololejeunea subcardiocarpa
Cololejeunea submarginata Tixier, 1980;Cololejeunea submarginata
Cololejeunea subsphaeroidea (R.M.Schust.) Pócs, 2008;Cololejeunea subsphaeroidea
Cololejeunea subtriapiculata Tixier, 1979;Cololejeunea subtriapiculata
Cololejeunea surinamensis Tixier, 1980;Cololejeunea surinamensis
Cololejeunea tahitensis Tixier, 1993;Cololejeunea tahitensis
Cololejeunea takamakae Tixier, 1985;Cololejeunea takamakae
Cololejeunea tanzaniae Pócs;Cololejeunea tanzaniae
Cololejeunea triapiculata (Herzog) Tixier, 1971;Cololejeunea triapiculata
Cololejeunea veillonii Tixier, 1979;Cololejeunea veillonii
Cololejeunea verrucosa (Jovet-Ast) Pócs, 2009;Cololejeunea verrucosa
Cololejeunea verwimpii Tixier;Cololejeunea verwimpii
Cololejeunea vidaliana Tixier, 1973;Cololejeunea vidaliana
Cololejeunea virotana Tixier, 1979;Cololejeunea virotana
Cololejeunea wightii Steph., 1895;Cololejeunea wightii
Cololejeunea winkleri (M.I.Morales & A.Lücking) Pócs;Cololejeunea winkleri
Cololejeunea xaverii (Lacout. ex Steph.) E.W.Jones;Cololejeunea xaverii
Cololejeunea zenkeri (Steph.) E.W.Jones, 1954;Cololejeunea zenkeri
Colubrina arborescens (Mill.) Sarg., 1911;Colubrina arborescens
Colubrina articulata (Capuron) Figueiredo, 1995;Colubrina articulata
Colubrina asiatica (L.) Brongn., 1826;Colubrina asiatica
Colubrina elliptica (Sw.) Brizicky & W.L.Stern, 1958;Colubrina elliptica
Colubrina Rich. ex Brongn., 1826;Colubrina Rich
Colubrineae A.Rich., 1845;Colubrineae A
Columnea calotricha Donn.Sm., 1905;Columnea calotricha
Columnea gloriosa Sprague, 1911;Columnea gloriosa
Columnea L., 1753;Columnea L
Columnea oerstediana Klotzsch ex Oerst., 1858;Columnea oerstediana
Columnea sanguinea (Pers.) Hanst., 1865;Columnea sanguinea
Columnea scandens L., 1753;Columnea scandens
Columneinae Hanst., 1854;Columneinae Hanst
Colura (Dumort.) Dumort., 1835;Colura (Dumort
Colura acroloba (Mont. ex Steph.) Ast;Colura acroloba
Colura apiculata (Schiffn.) Steph., 1916;Colura apiculata
Colura ari (Steph.) Steph., 1916;Colura ari
Colura australiensis Ast;Colura australiensis
Colura benoistii Ast;Colura benoistii
Colura calyptrifolia (Hook.) Dumort., 1835;Colura calyptrifolia
Colura conica (Sande Lac.) K.I.Goebel, 1928;Colura conica
Colura corynophora (Nees, Lindenb. & Gottsche) Trevis.;Colura corynophora
Colura cylindrica Herzog, 1952;Colura cylindrica
Colura denticulata Ast;Colura denticulata
Colura digitalis (Mitt.) Steph., 1916;Colura digitalis
Colura dusenii (Steph.) Steph., 1916;Colura dusenii
Colura fistulosa Jovet-Ast, 1983;Colura fistulosa
Colura greig-smithii Jovet-Ast, 1953;Colura greig-smithii
Colura heimii Jovet-Ast;Colura heimii
Colura humbertii Jovet-Ast, 1953;Colura humbertii
Colura leratii (Steph.) Steph., 1916;Colura leratii
Colura obesa Jovet-Ast, 1953;Colura obesa
Colura rhynchophora Ast;Colura rhynchophora
Colura superba (Mont.) Steph., 1916;Colura superba
Colura tenuicornis (A.Evans) Steph., 1916;Colura tenuicornis
Colura tortifolia (Nees & Mont.) Trevis., 1877;Colura tortifolia
Colura valida Jovet-Ast, 1961;Colura valida
Colurieae Rydb., 1908;Colurieae Rydb
Colutea arborescens L., 1753;Colutea arborescens
Colutea brevialata Lange, 1862;Colutea brevialata
Colutea L., 1753;Colutea L
Colutea orientalis Mill., 1768;Colutea orientalis
Colutea x media Willd., 1809;Colutea x
Colvillea Bojer, 1834;Colvillea Bojer
Colvillea racemosa Bojer, 1834;Colvillea racemosa
Comandraceae Nickrent & Der, 2010;Comandraceae Nickrent
Comarum L., 1753;Comarum L
Comarum palustre L., 1753;Comarum palustre
Comastoma (Wettst.) Toyok., 1961;Comastoma (Wettst
Comastoma tenellum (Rottb.) Toyok., 1961;Comastoma tenellum
Combretaceae R.Br., 1810;Combretaceae R
Combreteae DC., 1828;Combreteae DC
Combretinae J.Presl, 1846;Combretinae J
Combretoideae Burnett, 1835;Combretoideae Burnett
Combretum cacoucia Exell, 1931;Combretum cacoucia
Combretum coccineum (Sonn.) Lam., 1785;Combretum coccineum
Combretum comosum G.Don, 1824;Combretum comosum
Combretum constrictum (Benth.) M.A.Lawson, 1871;Combretum constrictum
Combretum fusiforme Gleason, 1926;Combretum fusiforme
Combretum grandiflorum G.Don, 1824;Combretum grandiflorum
Combretum indicum (L.) DeFilipps, 1998;Combretum indicum
Combretum laxum Jacq., 1760;Combretum laxum
Combretum Loefl., 1758;Combretum Loefl
Combretum paraguariense (Eichler) Stace, 2007;Combretum paraguariense
Combretum pilosum Roxb., 1832;Combretum pilosum
Combretum pyramidatum Desv. ex Ham., 1825;Combretum pyramidatum
Combretum rohrii Exell, 1953;Combretum rohrii
Combretum rotundifolium Rich., 1792;Combretum rotundifolium
Combretum sect. Cacoucia (Aubl.) Engl. & Diels, 1899;Combretum sect
Combretum sect. Combretastrum Eichler, 1867;Combretum sect
Combretum sect. Combretum Loefl., 1758;Combretum sect
Combretum sect. Grandiflora ;Combretum sect
Combretum sect. Poivrea (Comm. ex DC.) Eichler, 1867;Combretum sect
Combretum sect. Quisqualis (L.) Stace, 2010;Combretum sect
Combretum sect. Thiloa (Eichler) Stace, 2007;Combretum sect
Combretum subg. Cacoucia (Aubl.) Exell & Stace, 1966;Combretum subg
Combretum subg. Combretum Loefl., 1758;Combretum subg
Commelina africana L., 1753;Commelina africana
Commelina africana subsp. africana L., 1753;Commelina africana
Commelina benghalensis L., 1753 [nom. et typ. cons.];Commelina benghalensis
Commelina caroliniana Walter, 1788;Commelina caroliniana
Commelina coelestis Willd., 1809;Commelina coelestis
Commelina communis L., 1753;Commelina communis
Commelina cyanea R.Br., 1810;Commelina cyanea
Commelina diffusa Burm.f., 1768;Commelina diffusa
Commelina erecta L., 1753;Commelina erecta
Commelina forskalaei Vahl, 1805;Commelina forskalaei
Commelina L., 1753;Commelina L
Commelina mascarenica C.B.Clarke, 1881;Commelina mascarenica
Commelina obliqua Vahl, 1805;Commelina obliqua
Commelina platyphylla Klotzsch ex Seub., 1855;Commelina platyphylla
Commelina rufipes Seub., 1855;Commelina rufipes
Commelina virginica L., 1762;Commelina virginica
Commelinaceae Mirb., 1804;Commelinaceae Mirb
Commelinales Mirb. ex Bercht. & J.Presl, 1820;Commelinales Mirb
Commelineae Dumort., 1829;Commelineae Dumort
Commelinids ;Commelinids
Commelinoideae Eaton, 1836;Commelinoideae Eaton
Commersonia bartramia (L.) Merr., 1917;Commersonia bartramia
Commersonia J.R.Forst. & G.Forst., 1775;Commersonia J
Commersonia tahitensis (Dorr) C.F.Wilkins & Whitlock, 2011;Commersonia tahitensis
Commicarpus plumbagineus (Cav.) Standl., 1916;Commicarpus plumbagineus
Commicarpus Standl., 1909;Commicarpus Standl
Commiphora arafy H. Perrier, 1944;Commiphora arafy
Commiphora Jacq., 1797;Commiphora Jacq
Comocladia dodonaea (L.) Urb., 1910;Comocladia dodonaea
Comocladia martinicensis Sastre, 1998;Comocladia martinicensis
Comocladia P.Browne, 1756;Comocladia P
Comocladia undulata Urb., 1908;Comocladia undulata
Comolia DC., 1828;Comolia DC
Comolia latifolia (Aubl.) Cogn., 1885;Comolia latifolia
Comolia lythrarioides Naudin, 1850;Comolia lythrarioides
Comolia microphylla Benth., 1840;Comolia microphylla
Comolia veronicifolia Benth., 1840;Comolia veronicifolia
Comolia villosa (Aubl.) Triana, 1872;Comolia villosa
Comoranthus Knobl., 1934;Comoranthus Knobl
Comoranthus obconicus Knobl., 1934;Comoranthus obconicus
Comparettia falcata Poepp. & Endl., 1835;Comparettia falcata
Comparettia Poepp. & Endl., 1835;Comparettia Poepp
Compsoneura ulei Warb., 1905;Compsoneura ulei
Compsoneura Warb., 1895;Compsoneura Warb
Compsopogon caeruleus (Balbis ex C.Agardh) Mont., 1846;Compsopogon caeruleus
Compsopogon corinaldii (Menegh.) Kütz., 1857;Compsopogon corinaldii
Compsopogon Mont., 1846;Compsopogon Mont
Compsopogonaceae Schmitz, 1896;Compsopogonaceae Schmitz
Compsopogonales Skuja, 1939;Compsopogonales Skuja
Compsopogonophyceae ;Compsopogonophyceae
Compsothamnieae Schmitz, 1889;Compsothamnieae Schmitz
Compsothamnioideae De Toni;Compsothamnioideae De
Compsothamnion (Nägeli) F. Schmitz, 1889;Compsothamnion (Nägeli)
Compsothamnion decompositum (J.Agardh) Maggs & L'Hardy-Halos, 1993;Compsothamnion decompositum
Compsothamnion gracillimum De Toni, 1903;Compsothamnion gracillimum
Compsothamnion thuioides (J.E.Smith) Nägeli, 1862;Compsothamnion thuioides
Comptonella Baker f., 1921;Comptonella Baker
Comptonella baudouinii (Baill.) T.G.Hartley, 1983;Comptonella baudouinii
Comptonella drupacea (Labill.) Guillaumin, 1939;Comptonella drupacea
Comptonella fruticosa T.G.Hartley, 1983;Comptonella fruticosa
Comptonella glabra T.G.Hartley, 1983;Comptonella glabra
Comptonella lactea (Baker f.) T.G.Hartley, 1983;Comptonella lactea
Comptonella microcarpa (Perkins) T.G.Hartley, 1984;Comptonella microcarpa
Comptonella oreophila (Guillaumin) T.G.Hartley, 1983;Comptonella oreophila
Comptonella sessilifoliola (Guillaumin) T.G.Hartley, 1983;Comptonella sessilifoliola
Conardia compacta (Drumm. ex Müll.Hal.) H.Rob.;Conardia compacta
Conardia H.Rob., 1976;Conardia H
Conceveiba Aubl., 1775;Conceveiba Aubl
Conceveiba guianensis Aubl., 1775;Conceveiba guianensis
Conceveiba hostmannii Benth., 1854;Conceveiba hostmannii
Conceveiba krukoffii Steyerm., 1938;Conceveiba krukoffii
Conceveiba martiana Baill., 1865;Conceveiba martiana
Conchocarpus acuminatus (Pilg.) Kallunki & Pirani, 1998;Conchocarpus acuminatus
Conchocarpus guyanensis (Pulle) Kallunki & Pirani, 1998;Conchocarpus guyanensis
Conchocarpus J.C.Mikan, 1820;Conchocarpus J
Conchocarpus longifolius (A.St.-Hil.) Kallunki & Pirani, 1998;Conchocarpus longifolius
Conchocarpus toxicarius (Engl.) Kallunki & Pirani, 1998;Conchocarpus toxicarius
Conchocarpus ucayalinus (Huber) Kallunki & Pirani, 1998;Conchocarpus ucayalinus
Conchocelis rosea Batters, 1892;Conchocelis rosea
Condea Adans., 1763;Condea Adans
Condea verticillata (Jacq.) Harley & J.F.B.Pastore, 2012;Condea verticillata
